path,text,source,duration_sec
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00049.wav,dili nimo kinahanglan nga sulayan nga mapabilib ako,synthetic,4.912
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00050.wav,naminaw ka ba kanako,synthetic,2.304
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00051.wav,kuhaon,synthetic,1.056
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00052.wav,take cover,synthetic,1.6
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00053.wav,imong gisulti ang parehas nga butang,synthetic,4.016
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00054.wav,goldenfold,synthetic,1.44
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00055.wav,pretty concise,synthetic,2.064
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00056.wav,ayaw paghukom,synthetic,2.08
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00057.wav,time to go another dream deep,synthetic,3.36
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00058.wav,welcome sa imong nightmare,synthetic,2.992
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00059.wav,way lain gawas sa kahadlok gikan dinhi,synthetic,3.6
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00060.wav,holy crap,synthetic,1.472
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00061.wav,hain man ang akong testicles,synthetic,3.056
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00062.wav,sultihi ko,synthetic,1.744
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00063.wav,buckle up,synthetic,1.584
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00064.wav,makadagan ka,synthetic,1.888
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00065.wav,hold on,synthetic,1.152
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00066.wav,salamat,synthetic,1.248
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00067.wav,agresibo kaayo ka,synthetic,2.448
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00068.wav,oo nga pala,synthetic,1.696
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00069.wav,gipugos nimo ang imong kaugalingon,synthetic,3.648
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00070.wav,ikaw ang among anak,synthetic,2.368
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00071.wav,kung kinahanglan nimo ang bisan unsang butang,synthetic,4.192
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00072.wav,sa tinuod lang,synthetic,2.032
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00073.wav,kini nga mga katunga dili managsama,synthetic,3.472
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00074.wav,kini tungod kay dili nimo hatagan si ben smith og maayo nga mga grado,synthetic,6.864
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00075.wav,gikan sa frying pan tuldok,synthetic,2.992
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00076.wav,kon magdali ta makahimo ta ug kampo sa usa ka sewer tunnel o unsa pa sa dili pa ang mga iro hingpit nga,synthetic,8.512
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00077.wav,tapos na ang tanan,synthetic,2.128
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00078.wav,sugdi ang ikaduhang hugna,synthetic,2.704
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00079.wav,damgo kini,synthetic,1.744
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00080.wav,kini ba nga mga pildoras kinahanglan ba nga makapukaw kanako,synthetic,5.376
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00081.wav,kinahanglan kini alang sa plano,synthetic,3.264
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00082.wav,to hell with my kingdom,synthetic,2.56
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00083.wav,pagkuha sa sa tawo ang kalibutan dili motultol sa labaw nga kasubo,synthetic,6.88
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00084.wav,gimingaw ko nimo,synthetic,2.24
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00085.wav,mahimo nimo akong tawgon nga snuffles,synthetic,4.288
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00086.wav,sa akong hunahuna kini maayo,synthetic,2.928
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00087.wav,you know,synthetic,1.152
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00088.wav,principal vagina diri,synthetic,2.896
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00089.wav,nawala nimo ang punto,synthetic,2.928
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00090.wav,dapat buntison nako siya,synthetic,2.88
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00091.wav,pasayloa ko,synthetic,1.936
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00092.wav,pasayloa,synthetic,1.456
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00093.wav,maayo ang akong kaminyoon,synthetic,2.88
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00094.wav,kakahibaw mo unsa,synthetic,2.32
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00095.wav,paspas ka sa pagdako,synthetic,2.448
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00096.wav,kini usa,synthetic,1.344
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00097.wav,a buhok,synthetic,1.008
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00098.wav,www unsa man ko,synthetic,2.128
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00099.wav,ang paghigugma kanimo trabaho,synthetic,3.12
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00100.wav,pero klaro kaayo nga love tika nimo,synthetic,5.04
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00101.wav,naay starlit derby ang racetrack,synthetic,3.328
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00102.wav,omigod,synthetic,1.088
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00103.wav,gihigugma tika,synthetic,2.032
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00104.wav,nahasol ka ba ani nga punk,synthetic,2.736
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00105.wav,biyai siya,synthetic,1.6
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00106.wav,aw man,synthetic,1.104
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00107.wav,adunay espesyal nimo,synthetic,2.576
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00108.wav,ayaw kog biyai,synthetic,2.336
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00109.wav,pagdali ben,synthetic,1.984
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00110.wav,ikaw nahulog ang daghang mga bola,synthetic,3.376
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00111.wav,nagpasabot kini nga relaks ug hunong na sa pagka puki,synthetic,4.656
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00112.wav,wait a minute,synthetic,1.904
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00113.wav,usa ka butang o duha bahin wait,synthetic,4.176
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00114.wav,negative visualization,synthetic,2.656
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00115.wav,summer,synthetic,1.12
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00116.wav,sweety,synthetic,1.232
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00117.wav,actually,synthetic,1.376
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00118.wav,shut up ben,synthetic,1.632
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00119.wav,oh dios,synthetic,1.376
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00120.wav,oh man dili maayo ang akong,synthetic,2.992
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00121.wav,alrig ht mong duha,synthetic,2.4
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00122.wav,unsay buot nimong ipasabot nga tabangan,synthetic,3.904
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00123.wav,wala kami sa bisan unsang timeline,synthetic,3.472
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00124.wav,dili ni armadillo,synthetic,2.112
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00125.wav,naghunahuna ko nga mao kana ang angay isulti sa usa ka lalaki,synthetic,4.976
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00126.wav,kon duol lang ta sa ospital,synthetic,3.072
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00127.wav,isakay ang usa sa awto,synthetic,2.736
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00128.wav,kamidili,synthetic,1.408
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00129.wav,bisan unsa imong ipangutana,synthetic,3.088
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00130.wav,aw dili gyud nimo mapasayon,synthetic,2.88
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00131.wav,emerhensya,synthetic,1.664
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00132.wav,usa ko ka certified horse surgeon,synthetic,3.6
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00133.wav,mao kana ang akong nars,synthetic,2.528
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00134.wav,isip usa ka beterinaryo,synthetic,2.976
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00135.wav,mahimo ba ko nga makatabang kanimo,synthetic,3.376
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00136.wav,sa imong mga damgo,synthetic,2.112
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00137.wav,busa sa konklusyon,synthetic,2.432
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00138.wav,ikaw nga anak sa usa ka bitch,synthetic,3.328
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00139.wav,shh shh kabalo ko asa ka,synthetic,2.64
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00140.wav,holy shit,synthetic,1.424
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00141.wav,okay busa sugod karon,synthetic,2.48
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00142.wav,gibutang ka namo sa usa ka crate sa iro tungod kay nagbinuang ka,synthetic,5.536
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00143.wav,sa self defense lang,synthetic,2.624
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00144.wav,hoy daddy ben,synthetic,1.984
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00145.wav,tungod kay naghulat ko hangtod nga nakasiguro ko nga mao na ang gusto nakong buhaton,synthetic,6.176
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00146.wav,oh way to go,synthetic,2.064
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00147.wav,oo grampa,synthetic,1.296
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00148.wav,eksakto,synthetic,1.072
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00149.wav,oo wala nay iring,synthetic,2.16
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00150.wav,malipayon unta ko nga mobayad niini,synthetic,3.712
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00151.wav,among gibuhat,synthetic,2.032
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00152.wav,apan ang pinakataas nga surgeon sa usa,synthetic,3.808
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00153.wav,hoy paghulat kadiyot,synthetic,2.208
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00154.wav,shut up,synthetic,1.216
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00155.wav,hoy guys,synthetic,1.52
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00156.wav,dili kaayo maayo ang bation,synthetic,3.344
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00157.wav,naay nagtawag sa planeta sa tron,synthetic,3.248
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00158.wav,hoy tawo,synthetic,1.472
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00159.wav,anaa siya,synthetic,1.52
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00160.wav,dili kini diyos,synthetic,2.288
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00161.wav,gitugotan siya nga maghunahuna nga diyos kung gusto niya,synthetic,5.216
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00162.wav,scary stuff,synthetic,1.792
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00163.wav,mga ginoo,synthetic,1.36
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00164.wav,alang sa diyos,synthetic,2.128
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00165.wav,good luck,synthetic,1.408
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00166.wav,i dabble,synthetic,1.376
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00167.wav,daddy ben,synthetic,1.76
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00168.wav,kinsa ang dili musikero,synthetic,2.768
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00169.wav,higante nga ulo sa langit,synthetic,2.832
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00170.wav,kini ang pinakamaayo nga paningkamot sa atong kalibutan,synthetic,4.608
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00171.wav,bahala ka sa salog oras na para makasulod diri,synthetic,4.272
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00172.wav,karon huwata kadiyot,synthetic,2.288
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00173.wav,oh mahal nga higanteng ulo,synthetic,2.784
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00174.wav,genius happens in the moment,synthetic,3.6
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00175.wav,pagplano kana para sa kapakyasan,synthetic,3.584
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00176.wav,ug unsay imong plano,synthetic,2.336
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00177.wav,among gipadala kining mga dili gusto sa langit aron sila masuyop sa daghang mga ulo,synthetic,6.208
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00178.wav,usa ka squeegee migawas gikan sa garahe,synthetic,4.16
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00179.wav,hi folks,synthetic,1.168
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00180.wav,nakadaog siya sa matag pagsulay sa klase sa patatas,synthetic,4.928
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00181.wav,dili na siya buntis o nagdroga o dili curfew,synthetic,5.104
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00182.wav,nindot kana,synthetic,1.792
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00183.wav,siyempre,synthetic,1.408
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00184.wav,kuhaa ko,synthetic,1.36
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00185.wav,unsay imong gibuhat,synthetic,2.624
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00186.wav,paghulat,synthetic,1.584
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00187.wav,ayawg saba,synthetic,1.888
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00188.wav,kadto si chunky tunk nga adunayfull ming mong,synthetic,4.208
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00189.wav,jerry ug beth,synthetic,1.984
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00190.wav,palihug ayaw kini buhata,synthetic,2.864
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00191.wav,dili igsapayan kung unsa ka schwifty,synthetic,3.632
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00192.wav,daotan gyud ko niini,synthetic,2.672
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00193.wav,unsay imong isulti,synthetic,2.4
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00194.wav,trade secret,synthetic,2.064
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00195.wav,sige ra,synthetic,1.2
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00196.wav,adto sa waiting room,synthetic,2.576
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00197.wav,oo ako dili,synthetic,1.872
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00198.wav,dili ko makatuo nga gipasabot nimo ang alien cereal,synthetic,5.04
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00199.wav,aw traynta y nuwebe ka tuig na kaayo ka,synthetic,3.632
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00200.wav,sa usa ka kalibutan,synthetic,2.352
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00201.wav,oh tawo,synthetic,1.168
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00202.wav,karong enero,synthetic,2.032
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00203.wav,excuse me,synthetic,1.344
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00204.wav,ang iyang kinatawo pulihan sa usa ka sopistikado nga prosthetic,synthetic,5.936
